-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Latitude  0.0   Longitude -75.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 229.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,WS10M,CLOUD_AMT,ALLSKY_SFC_SW_DWN
2020,1,1,0,24.15,100.0,1.03,92.3,0.0
2020,1,1,1,24.06,99.88,0.99,62.93,0.0
2020,1,1,2,23.92,99.56,0.95,88.86,0.0
2020,1,1,3,23.7,99.68,0.97,96.85,0.0
2020,1,1,4,23.48,99.82,1.0,100.0,0.0
2020,1,1,5,23.34,99.82,1.0,100.0,0.0
2020,1,1,6,23.46,99.57,0.9,89.43,37.65
2020,1,1,7,24.25,98.93,0.66,81.41,187.45
2020,1,1,8,25.01,97.92,0.54,73.61,368.58
2020,1,1,9,25.44,94.75,1.01,73.94,544.72
2020,1,1,10,26.25,88.39,1.08,54.06,717.28
2020,1,1,11,27.38,79.77,1.13,46.47,813.33
2020,1,1,12,28.05,76.1,1.07,33.37,856.72
2020,1,1,13,28.44,74.66,0.98,29.41,797.62
2020,1,1,14,28.6,74.4,0.9,27.52,669.7
2020,1,1,15,28.5,75.53,0.77,22.03,487.58
2020,1,1,16,28.07,79.62,0.52,30.98,269.48
2020,1,1,17,27.41,87.01,0.41,44.08,70.47
2020,1,1,18,26.36,93.55,0.84,55.19,0.0
2020,1,1,19,25.55,95.59,1.18,66.82,0.0
2020,1,1,20,25.02,97.09,1.2,65.07,0.0
2020,1,1,21,24.7,98.22,1.15,74.67,0.0
2020,1,1,22,24.42,99.4,1.06,81.52,0.0
2020,1,1,23,24.15,100.0,1.01,94.7,0.0
2020,1,2,0,23.92,100.0,0.98,90.99,0.0
2020,1,2,1,23.77,100.0,0.98,98.87,0.0
2020,1,2,2,23.66,100.0,1.1,99.48,0.0
2020,1,2,3,23.65,100.0,1.14,99.7,0.0
2020,1,2,4,23.5,100.0,1.18,99.79,0.0
2020,1,2,5,23.33,100.0,1.04,99.69,0.0
2020,1,2,6,23.54,100.0,0.76,99.79,19.42
2020,1,2,7,24.69,94.87,0.68,99.97,108.9
2020,1,2,8,25.88,89.09,0.69,99.2,198.9
2020,1,2,9,26.92,83.9,0.99,97.37,384.05
2020,1,2,10,27.69,80.12,1.11,92.88,598.7
2020,1,2,11,28.15,77.74,1.1,92.54,688.65
2020,1,2,12,28.39,76.4,1.0,84.35,737.85
2020,1,2,13,28.42,75.87,0.9,57.76,713.28
2020,1,2,14,28.25,76.96,0.76,87.81,586.95
2020,1,2,15,27.88,80.24,0.58,44.48,445.95
2020,1,2,16,27.36,84.85,0.44,54.96,228.38
2020,1,2,17,26.67,91.28,0.38,68.75,59.03
2020,1,2,18,25.73,95.44,0.73,79.75,0.0
2020,1,2,19,25.13,96.87,0.97,94.32,0.0
2020,1,2,20,24.86,97.09,1.02,95.26,0.0
2020,1,2,21,24.66,97.25,0.9,100.0,0.0
2020,1,2,22,24.56,97.2,0.85,99.99,0.0
2020,1,2,23,24.47,97.1,0.79,100.0,0.0
2020,1,3,0,24.16,98.25,0.8,99.24,0.0
2020,1,3,1,23.73,99.98,0.96,99.82,0.0
2020,1,3,2,23.37,100.0,1.02,89.66,0.0
2020,1,3,3,23.02,100.0,1.08,54.65,0.0
2020,1,3,4,22.94,100.0,1.15,17.98,0.0
2020,1,3,5,22.84,100.0,1.08,10.58,0.0
2020,1,3,6,22.76,98.86,1.04,19.38,50.6
2020,1,3,7,24.29,93.66,0.64,27.85,257.25
2020,1,3,8,25.62,83.41,0.96,35.48,478.52
2020,1,3,9,26.72,77.03,1.15,18.16,703.25
2020,1,3,10,27.7,73.05,1.18,20.51,811.47
2020,1,3,11,28.44,70.49,1.16,35.92,850.53
2020,1,3,12,28.85,69.36,1.1,58.84,824.33
2020,1,3,13,29.03,69.46,0.99,58.15,700.78
